workload,gpu,problem_size,variant,stage,tile_size,time_ms,gflops,correct,max_abs_error
gemm,A100_MIG_3g40gb,3072,V3,3,64,23.651328,2451.534996,1,0.000000
gemm,A100_MIG_3g40gb,3072,V3,4,64,26.325503,2202.505218,1,0.000000
gemm,A100_MIG_3g40gb,3072,Ref,0,128,8.020992,7228.788718,1,0.000000
gemm,A100_MIG_3g40gb,3072,V1,1,128,13.549056,4279.416829,1,0.000000
gemm,A100_MIG_3g40gb,3072,V0,0,128,57.188351,1013.878837,1,0.000000
gemm,A100_MIG_3g40gb,4096,Ref,0,16,19.009025,7230.194932,1,0.000000
gemm,A100_MIG_3g40gb,4096,V1,1,16,117.056511,1174.124808,1,0.000000
gemm,A100_MIG_3g40gb,4096,V0,0,16,135.001602,1018.054240,1,0.000000
gemm,A100_MIG_3g40gb,4096,V3,2,16,121.139713,1134.549107,1,0.000000
gemm,A100_MIG_3g40gb,4096,V3,3,16,122.459137,1122.325021,1,0.000000
gemm,A100_MIG_3g40gb,4096,V3,4,16,120.566273,1139.945280,1,0.000000
gemm,A100_MIG_3g40gb,4096,Ref,0,32,19.009025,7230.194932,1,0.000000
gemm,A100_MIG_3g40gb,4096,V1,1,32,62.903809,2184.906710,1,0.000000
gemm,A100_MIG_3g40gb,4096,V0,0,32,135.009789,1017.992510,1,0.000000
gemm,A100_MIG_3g40gb,4096,V3,2,32,62.578176,2196.276101,1,0.000000
gemm,A100_MIG_3g40gb,4096,V3,3,32,62.615040,2194.983088,1,0.000000
gemm,A100_MIG_3g40gb,4096,V3,4,32,65.636353,2093.945629,1,0.000000
gemm,A100_MIG_3g40gb,4096,Ref,0,64,19.009025,7230.194932,1,0.000000
gemm,A100_MIG_3g40gb,4096,V1,1,64,32.497663,4229.194923,1,0.000000
gemm,A100_MIG_3g40gb,4096,V0,0,64,135.007233,1018.011782,1,0.000000
gemm,A100_MIG_3g40gb,4096,V3,2,64,36.786175,3736.157791,1,0.000000
gemm,A100_MIG_3g40gb,4096,V3,3,64,55.830526,2461.716958,1,0.000000
gemm,A100_MIG_3g40gb,4096,V3,4,64,62.407167,2202.294370,1,0.000000
gemm,A100_MIG_3g40gb,4096,Ref,0,128,19.009025,7230.194932,1,0.000000
gemm,A100_MIG_3g40gb,4096,V1,1,128,32.042496,4289.271180,1,0.000000
gemm,A100_MIG_3g40gb,4096,V0,0,128,134.983673,1018.189462,1,0.000000
gemm,A100_MIG_3g40gb,6144,Ref,0,16,63.271425,7331.215729,1,0.000000
gemm,A100_MIG_3g40gb,6144,V1,1,16,394.368515,1176.200559,1,0.000000
gemm,A100_MIG_3g40gb,6144,V0,0,16,457.203720,1014.550949,1,0.000000
gemm,A100_MIG_3g40gb,6144,V3,2,16,408.190460,1136.372633,1,0.000000
gemm,A100_MIG_3g40gb,6144,V3,3,16,412.705292,1123.941169,1,0.000000
gemm,A100_MIG_3g40gb,6144,V3,4,16,406.148605,1142.085586,1,0.000000
gemm,A100_MIG_3g40gb,6144,Ref,0,32,63.271425,7331.215729,1,0.000000
gemm,A100_MIG_3g40gb,6144,V1,1,32,211.816956,2189.892999,1,0.000000
gemm,A100_MIG_3g40gb,6144,V0,0,32,457.214462,1014.527112,1,0.000000
gemm,A100_MIG_3g40gb,6144,V3,2,32,210.953217,2198.859423,1,0.000000
gemm,A100_MIG_3g40gb,6144,V3,3,32,211.058693,2197.760545,1,0.000000
